Summary_clean,Sentiment
owesome product thank ekart,positive
good,positive
amazing deal urban terrain cycle comes accessories mentioned included reflectors well time delivery perfect installation top montha diet plan work wondersthe cycle light weight modern equipments installation technician polite explained everything could deal petty problems myselfanamika assigned dietician,positive
useful technical joband nice grip,positive
one best laptop seen performance device awesome rbg lights looks superb overall device beast,positive
good yaar like,positive
sandals nice like,positive
plastic materials seem low qualityand easily damage,neutral
mixture grinder looking good motor also good masala unable fine grain paste bad quality paste cant use cooking purpose tried paste ginger garlic time tried unable paste fine grain totally disappointed priduct,negative
amazing product used days easy use best price range,positive
good product,positive
ok,neutral
original product good finishing,positive
worth money,positive
great sounds awesome featuresand truly amazing experience thanks google smart likeno otheronly request please get free youtube music free,positive
really happy satisfied product service provider md raj ali warsi global sloution burdwan excelant service provide lock priod really thanks franke faber md raj ali,positive
best product work,positive
product goodbutthis product havy,neutral
worst product evernot working oncewarrenty claimbut action taken last months pathetic show flipkart butterfly butterfly even dont service centre nearby,negative
nice son happy get,positive
good product,positive
got expected super cool stylish cooling awesome,positive
disappointed bubseeing plastic connecter broken fitting item good,negative
bad qualitys product,negative
bought silver colour really awesome performance nice unbeatable price range camera decent understand mp apple battery backup nice logo silver colour ipad really awesome really adventurous android users shift ios atmosphere box get ipad adapter charging cable apple logo sticker documents,positive
received product thats looking good performance good faced trouble,positive
product average per expetance,neutral
fair product,positive
apple always hit,positive
comfortable,positive
good,negative
low quality sound,negative
leather genuine sole cracks within month need improvement disappointed product recommended acidic working conditions,negative
nice product thanks flpkart,positive
nice,positive
average good product,positive
ok,neutral
systematic equipment recommended,positive
good qulaity good quality steel branded,positive
good product,positive
quality bad productdont waste money,negative
nice wooden material sturdy beautiful drawer little bit loose,positive
slow,negative
awesome,positive
size small,neutral
nice quality,positive
good nice product,positive
good cooling,positive
good quality price,positive
nice cloth selected colour received delivery time receiving love flipkart quality gud,positive
tq,positive
beautiful product go,positive
strong enough carry load,positive
overall ok low speed motor,negative
good,positive
good product buy,positive
worst product ever,negative
poor quality mony waist,negative
cloth quality good,negative
product good installation charges much rs correct,negative
thanks filpkart,positive
good product single bowl,positive
written tv volume louder item worst product dont go review review think paid review,negative
good useful gym,positive
third class,negative
love itgreat study purpose,positive
bass treble mentioned modes equaliser less given,negative
good product job clarity also good wifi supports direct good software hangs sometimes wise good deal lets see long lasts,positive
working lights working,neutral
satisfied product,positive
best kit good,positive
good heavy material,positive
good quality product,positive
excellent everything good focus water level indicator great,positive
super product cover cap best much better expected,positive
happy quality,positive
excellent,positive
good product charges fast charger delivers power usb type included cable also pretty good,positive
nice gadgetlove,positive
gifted boyfriend indian air force looks stunning attractive black dial really likes one watch goes well uniform,positive
good,positive
simply nice fabric expectations overall good deal,positive
beatar,neutral
really good product,positive
im happy got boat headphone amazing sound clarity bass quallity everything much better must buy thiss boat rockerz,positive
nice products comfortable,positive
nice producti happy product product good fast farmentation go product fast farmentation,positive
one best price pointmake sure add extra ssd else run storage issuei would also recommend gig ramthe performance butter smooth far tried valorant warzone ark read dead redemption fifa play lags glitches thermals pretty good considering price point recommend sure deal breaker use credit card extra,positive
saw package time sure pillows open im love quality packaging,positive
plate small size,negative
bad stopped every time fix still stops dont ever buy dont blame flipkart seller send bad product flipkart work finding better sellers trust worthy also stopped working days please take review seriously size tooo small,positive
love thank flipkart lets see working interesting one small jar two container soooo good,positive
mixer gud super product im happy,positive
bestp,positive
worst quality used two times already wore,negative
good product excellent stitching nice,positive
built sound quality awesome best music lovers bass also good feel hearing,positive
much heating,neutral
nice dressing,positive
good quality,positive
vry gud,positive
wonderful kajal really like,positive
really superb built quality good definitely worth priceim impressed product thank flipkartthe product delivered days deadline,positive
nice product range,positive
nice product tnx flipkart,positive
good book banking exams questions level easy hard properly set one complete half books properly get grip reasoning banking exams yet answers wrong ok manage ur base strong easy identify without doubt go contains pages questions availablei give rate quality pages purpose wrong answers otherwise top class boo,positive
ok,neutral
fantastic,positive
nice,positive
nice,positive
good quality good brand,positive
value money,positive
good product air pressure high cover two rooms body material also good worth buying,positive
good,positive
worth every penny fabulous item thanks flipkart,positive
ultimate product,positive
super product nice,positive
upto mark waste money dont buy,negative
best quality,positive
super product thank,positive
nice per shown picture,positive
thin plates,negative
loud like boat jbl others,neutral
good quality bat please go,positive
product exellent mind blowing light weight easy carry high security password,positive
buy,positive
good quality soft meterial must thank much flipkart,positive
best cycle value comfortable good quality,positive
nice product,positive
nice product,positive
god product denr plet size amol,positive
product good installation pipes plug charged expensive think installation free save think installation free go,positive
product good,positive
good product must purchased,positive
excellent product sufficient family members,positive
supper quality nice photoshoot,positive
perfect product thank flipkart,positive
food processor useful alooif try use bendee bhindi kundru keema optimize cutter,positive
tight thys cant sit cycle,neutral
fine producy,positive
offline office work person performance good price bracket important note one thing dont like laptop ntsc display think manage lower price wants multimedia dont go go oled screen varient,positive
good product,positive
nice mat value money,positive
washing machine awesome services installation done next day,positive
filmsy bad deal,negative
nice product built heater works one option washing heater drying clothes,negative
good product table balance,positive
good products,positive
nice product good,positive
good cycle light weight,positive
need demo start machine one star given interim score demo done give final rating,negative
awesome product using since year,positive
vary happy use macbook,positive
amazing amount,positive
works great go ahead order,positive
nice products child happy,positive
month center speaker surrounding speaker working,negative
poor item,negative
super qualityfast charging,positive
slightly uncomfortable inside need make comfortable inside smooth walking,positive
dont know,neutral
worst wood received,negative
satisfying grab eyes closed,positive
waste money smell like comphor,negative
really nice smell liked,positive
thank like much cushions,positive
real product,neutral
nothing looks must say looks supergreat performance lightweight,positive
nice product best quality,positive
woww,positive
product shown app good deliver lightly gamed giving putting charging properly charged battery backup good,negative
thankyou flipkart valuable product needed urgently delivery guys good man,positive
useful protect,positive
catelog tv size mention inch real inch invh lenght,negative
good product impressive product quality good happy see,positive
best price,positive
super prodect,positive
mom loved thanks flipkart wonderful product,positive
okay okay good,positive
helpful book board exam class th,positive
good,positive
great quality okay,positive
good product good engine good quality good work good safe good grainter,positive
excellent product easy use liked,positive
happy though tb free space said tb lil bit disappointing price low diss appointment manageable speed fine,positive
nice product,positive
super frigh go,positive
reliable product dis reasonable price,neutral
organiser usefulllland holds heavy weight booksgood quality worth money,positive
amazing fragrance real love perfumes best longlasting,positive
anyway worth,positive
money worth product,positive
metrial good light metrial happy,negative
best super,positive
ok,neutral
nice quality product better permanent table takes place room less price offline market,positive
good deal,positive
worst waste money,negative
sooo good,positive
good,positive
quality product,positive
nice sound also good compare others,positive
pathetic ro systemservice providers rude every days problems occurred ro never reply proper reply asking money everytime change built things never purchased kent ro system point view specially flipkart,negative
bad,positive
awesome product,positive
tenda ac vs tplink archar winner best signals strength,positive
awesome beautiful,positive
sound good bass little goodpacking also good design perfectin range good product launch mivi india,positive
best products price range works well demo given correct date dont know much service overall best market price,positive
osm productvery good flip kart thanks,positive
actually really good price wise grinding also good doesnt filter juice properly fliter juice drink lil disappointed,negative
thank flipkart fast delivery got delivered less hours,positive
working best,positive
nice board,positive
super,positive
best product awesome packaging worth,positive
shown pic looks good stylish,positive
nice product thank flipkart,positive
master pieces thanks flipcart,positive
average products wifi range one wall provide mbps internet speed want purchase products use wifi hall recommended product home average prize best,negative
quite thats time work rembrandt last purchase type works smoothly started yesterday hope continuously gives good service time good work thank customer hyderabad,positive
good working,positive
comment awesome,positive
best purchase loved awesome iprepared cake biscuits turned tasty,positive
amazing,positive
best class,positive
good product,positive
ok,positive
handy powerful,positive
excellent product beautiful price,positive
good boiling water good boiling milk,positive
nice product use,positive
good products power car weak,negative
best product guys go,positive
awsome quality good sound value moneythanks mi,positive
freakin beast price,positive
best product,positive
good product nice service flipkart,positive
good,positive
superb product,positive
really good product say big buget saving,positive
good product value fomoney,positive
good selection,positive
good super,positive
gud qultey,positive
waste money,negative
super product,positive
poor material,negative
good helpful product highly recommended,positive
nice bat play tennis ballyou able play seasonal ball bat due consider buying,positive
nice flask,positive
useful hair oil,positive
nice go,positive
product good,positive
good smartphone perfect budget segmentbut note points camera watermark feature missing slowmo mode video camera battery draing quite fasthoping get features next updates,positive
love boat watch,positive
delivery issuebut product awesome,positive
recommend,positive
awesome glad purchased,positive
quality superior packaging good damaged one thank flipcart best dinner set price little bit size small problem,negative
good live rented room,positive
nice car,positive
good quality product tq flipkart,positive
value money,positive
much noise features good,positive
awesome,positive
thx flip kart,positive
nice long,positive
ok fir wash bubbles come,neutral
super cushion lvlyy fluffy,positive
lid great,negative
beautiful,positive
worst product grinding heating motor waste money,negative
average,neutral
got mad sure cant get better headphones price range although foldable plastic looks premium long lasting sound quality clarity also good think open flipkart order nd gf also impress using month reviewing price range none beat battery life thumpin,positive
everything goodsound loud clearits need wifi connection connect ur speaker well phoneit would easier got connected single wifi bluetooth connection rest everything good,positive
charger working nice,positive
awesome,positive
nice coolingnice product,positive
good poor quality product,negative
price range ill strictly say noyou purchase seeing color blanket comfort product color mentioned app,negative
got expectations thankyou flipkart,positive
hii ordered product got delivered next day many reviews dlink reviews dir thought writing review technically telephone line broadbands like snl mtn airtel etcbcoz rj port wan link dir cable line broadbandsas rj port wan link dir highly recommended people using local cable broadband tikona broadbandhas rj port wan etc previousl,positive
less space leading frequent hanging device,negative
value money,positive
best product quality best products price,positive
small,neutral
bad qulity dont buy,negative
super quilty,positive
nyc,positive
absolutely perfect quality good looks hot,positive
really good product nicely packed delivered sound switching normal power emergency power,positive
thank flikartbest online shopping site,positive
awesome product good quality comfortable good looking,positive
superr,positive
good add like seat belt much comfortable,positive
nice quality product nice packaging,positive
fully compatible poco,positive
bbk always bbkcons remote working month wifi disconnects time laggy reboot takes long pros nil consider buying mi box spending little extra chromecast google tv better experience worst product ever,negative
expert pre cooking processing foodits awesomelike helping hand modern day kitchen,positive
best price segment,positive
thrusting product years,positive
good next day morning time delivery works perfectly taste water good satisfied,positive
demo arrange singer without demo use machine,negative
dial small light weighti like,positive
wasted money,negative
quality long life good,positive
bad product grinding properly making noice,negative
fabric good,positive
product good,positive
sound nice good bass,positive
bad product,negative
avarage,neutral
looking good comfort riding,positive
effective water pressure good,negative
really good price range would rate star light otg,positive
good tell week,positive
super happythank flipkart,positive
metal good,negative
constemar sarvice tv stand good,positive
good product price point connects internet easily,positive
good good mobile google assistant screen speaker sound quality best connecting issue sometimes got hang google improve software device purchasing time google given free service gana saavn music music streaming services better use,positive
really good product sound quality excellent,positive
good nice product,positive
quality ok,neutral
nice product,positive
worst phone,negative
good product suction could stronger,positive
using mi tv since jan th connectivity castings simply superbonce problem auto play hdmi switching setup box manually select hdmi yesterday ie th feb mi system update updating completely auto play hdmi solvedguys looking inch led go mi tv prosuperb tv please buy one voltage stabilizer along run smoothly thanks shyam,positive
good product,positive
excellent work im happy purchase,positive
good expected thin,negative
original productlong lastingi love iti purchase,positive
awesome,positive
good user friendly sewing machine,positive
beware guys device doesnt support otg connection one problem big shadowed issue wifi connectivity telecom service providers vodafone airtel works flawlessly jio connection,negative
really cool comfort,positive
best blanket price rangethnk flipkart,positive
good product installation service,positive
superb product good service thank flipkart,positive
worst product received,negative
valuable product,positive
highly recommended,positive
wrost prodect internet vary slow supply bye prodect bad prodect game ping slow,negative
used maybelline colossal kajal time thought giving try eyeconic provides better pigmentation completely smudge proof stays longer period time love,positive
quality products low satisfied,negative
niz product,positive
awesome loved,positive
awesome,positive
bought interior cleaning restoration car however didnt find useful cleaning edges corners task sponge moreover first usage found stitches arent good sponge visible stitches wouldnt recommend better use microfiber towel cleaning personally found much better,positive
wasteno use,negative
comfortable,negative
good good good,positive
nice rice cooking,positive
nice parduct,positive
supperb product looking awesomeafter wear shoe looking fantasticgood quality product thus pricetotal paisa wasoolthank flipkart,positive
superb thnku filpkart,positive
worth buying,positive
remote control working,negative
un satisfied size rice cooker,positive
dont purchase total waste money,positive
always fan bajaj products especially geysers since decade reliable long lasting,positive
material good sandal life one month,negative
super,positive
nice product good,positive
chinese product good data save,positive
comfortable easy fit,positive
nice product delivery awesome,positive
atomic sound good,negative
ok ok product,neutral
best inverter,positive
shown,positive
low button switch working machine stoped minutes auto mode day one complain lodged flipkart thereafter days kent sent representative inspect machine came note problem recommend sent technical person service centre technician came something control panel hour said problem corrected promised us visit,negative
mind blowing products awesome,positive
awesome product,positive
product goodand packing high quality,positive
brilliant beginners like,positive
family enjoy alot little smart speaker,positive
excellent product price fully automated washing machine one issue would like highlight proper detergent pouring box detergent remains hole hence need spread detergent cloth putting inside lg detergent box water shower due detergent gets washed showered drum,positive
low range,positive
amazing product,positive
good quality gyser minutes hot water,positive
keeps water hot hours per experience till nowu put much hot water bottle keeps hot till long time,neutral
good looking,positive
ausum product,positive
overall nice product packaging bad putted pair one pouch,neutral
wrost product flipkartbad services flipkart,negative
good product,negative
automatic features good,negative
best product,positive
nice feting,positive
bad keys stopped working week called flipkart told cant return week money gone,negative
ultimate,positive
nice,positive
quality good,positive
wonder full book banking topic covered,positive
product good worth money,positive
good product awesome,positive
probably highest rated grinder looks niceproslooks elegantgrinds fast supposedly long lasting cons batter splashes lot comes drum even covered lid covers motorcleaning pain friendly cleanpremium price similar products reputed brands least cheaper,negative
bad,negative
slow charger even normal charger better dont waste money,negative
best device price delivery boy let unbox dont like else good,positive
light weight,negative
paikin good,negative
ok super,positive
good productlove,positive
product good,positive
goodquick recharge ability importantly fan make irritating sound usually heard machines,positive
nice products thanks fipkart dilevery,positive
good producd regular used,positive
quality product good little bit disappointed delivery time got order extension delivery date,neutral
avaragedoesnt wifi offon buttonquality moderate great,negative
quality good use full,positive
heating capacity good previously used instant geyser bajaj years happily experience ordered kind product bajaj time wan happy product heating happening instantly heating capacity low overall happy product time,negative
excellent tab especially stock broking par performance battery life display gamers still play games without lagging,positive
camera super kindly provide bag memory card,positive
yes highly satisfied ifb neptune vx dishwasher germ free hygienic wash perfectly washes typical indian utensils like cooker kadai etc really value money product,positive
thanks flip kart fast delivery products good,positive
nyc products,positive
happy,positive
nice superb,positive
nice,positive
one plate dameged,negative
good,positive
good,positive
mbps bsnl ftth connection getting mbps speed upload download ghz band ghz gives around mbpsoverall satisfied purchase wifi placed center home corners covered ghz band meters,positive
nice dress correct size soft cloth,positive
using oil fron many years one main reasons non sticky plus gives shines hair use oil many years dont need reason switch brand aroma really good,positive
product good,positive
bcame black st day itselfheating ltr takes minsss,neutral
absolutely amazing got deal reasonable rate,positive
best quality best performance,positive
good air throw smooth wheels,positive
nice perfume men attract girl,positive
value money productnice display,positive
bed,negative
great product works really efficiently,positive
though katoris small size still itsnice worth pricelove,positive
waste,negative
value money rate purchase smart watch like noise fair bolt old year,positive
two products super good another one average,positive
good,positive
fair,positive
super product nice quite enough members family,positive
must buy,positive
worth money spr quality water proof,positive
nice onereceived aspected thanks,positive
soooooo nice,positive
nice product super,positive
working dont buy waste money,negative
bad,negative
standard product built quantity good,positive
dont buy money wastewaste product,negative
okay okay product good,neutral
best quality best average price,positive
recommended buy im writing review tuesday november best recommended headphone dont give second thought buy forgot say best pubg,positive
good productbought rupees,positive
value,positive
good product battary ac,positive
basic speaker,neutral
amazing product crompton desert cooler performance good cooling outstanding performance body overall nice thanks flipkart days delivery,positive
good product,positive
loving,positive
good,positive
good saticefied inbuilt heater working,positive
good,negative
till date good update time,positive
excellent,positive
nice fan best speed,positive
good product suggest everyone buy totally happy service product,positive
nice product,positive
cloth thin,neutral
installation good,negative
great buy simple stitching able set machine without problem delivery time thanks flipkart great service,positive
dont buy,negative
super pant nice feeting,positive
amazing results worth buying,positive
installation demo completed done sethuraman ipjcch good comfortable time couldnt feel discomfort one best technician jeeves team happy installation jeeves team,positive
good fitting colour like shown image,positive
wifi range short distance net speed going slow good speed bands,negative
good product delivered time value money worth buy used product found useful heating purpose,positive
nice super,positive
itvalue moneydont think must buyable product,positive
doesnt work properly opens front function,negative
nice product running time motere sound level high sound,positive
meterial bad stiching poor,negative
want feeling moon near best option go material superb unbreakable,positive
qulati good oky typs,neutral
good one,positive
good product,positive
beautiful,positive
best market,positive
ok ok qualityno grip walkingwest money,negative
love delivery fast loved,positive
good quality power bank power backup good,positive
beige dark shade great quality length look pair silk kurta pricy worth think,positive
nice clog price range color exactly image shown,positive
thanku shris mami like book book aspirants intersting book readingbut one matter really select easy launguagethnx shris mam,positive
supar,positive
son happy,positive
cello good,positive
lovely bat best light weight tennis ball bat ever hadloved,positive
nice pair socks quality wise nice low priceand doesnt reach upto midcalf fabric made soft cloth awesome product,positive
spacious sturdy cupboard,positive
dont vest time go buying product superb,negative
nice useful yeast easy use tooreview half month,positive
running product giving carbon filter burning smell new mixer,negative
takes min heat wait minnothing purchase,neutral
good speaker budget really smart compared alexa,positive
good price range,positive
worst company dont buy loose money,negative
bad productive purchased product oct worked fine start months started showing true colour within months started heating even simplest regular operations shutting evenlyand main customer serviceall contact numbers customer service wrong stay mumbai tried mumbai contact switched time tried thane results sameplease dont,negative
palak carrot beetroot gooseberry juice process good wastage everyone family love winter veggies juice,positive
used charger recharging taken hours charge mobile taken long time hour charging time chargedi unsatisfied day,negative
sooper product model show photo shelvs quality company also increase quality zip cover,positive
nice,positive
good quality thought size would smaller receiving product exceeded expectation size mats quit big material durable would last years easily,positive
nice product must go vey budget friendly value money recommend oven living small medium family anyway happy,positive
nice product im happy deel product battery life good hours nonstop running music quality good awesome,positive
stuff good return item due size issue order pe size light fitting care need taken manufacturer size,positive
okay okay product,neutral
fabric good expected,negative
best class bass cant feel dolby type effects like sound goes left right feel heavy bass heavy sound end compromise sound felt look forward clarity sound effects ears like dolby atoms go sennheiser sony,positive
nice tv price range suggested tv relatives alsoneed improvements sound qualityimage quality awesomelacks connectivity issues like usb ready playback reaching ports backside tvetc,positive
good,positive
good work,positive
nice blezzar,positive
costley,neutral
working properly,neutral
value money thank flipkart,positive
nice product,positive
useless faltu product dont waste money cheap price sufficient status,negative
good like,positive
good product,positive
nice product shown picture,positive
good product,positive
better,positive
working well past days cleaning utensils except pan tea marks anything burnt marks however problem program per manual every program finishes must show end never saw end programs however problem gone automatically may drain pipe properly put drain hole thats voltas toldcleaning good capacity good takes utensils taking hr clean,positive
heat quick hardly lasts one shower,negative
good product easy fix serves purpose,positive
nice looking good bye everyone,positive
aswm,positive
good strong,positive
easy install use highly recommended,positive
third renesa fan atemberg first one second one bought one year backboth still working goodthird one bought last month noticed problems beginningrpm little lower old one one month stoped working got abnormal sound motori think new renasa models quality degradation happened way reported atemberg immediately replaced motor well nowi give star time,positive
good product worth money purchased one tb space filled already may purchase different capacity sooner later thanks flipkart well wd product,positive
best laptop gaming price range,positive
good product working awesomevery cheap ad bestthanks flipkart amazing offer,positive
bowl broken,negative
good product quality,positive
good quality good fabric,positive
good,negative
nice,positive
nice one,positive
good product value money jars price quality good,positive
material good found bowl broken,negative
nice color good quality,positive
nice product coverage pretty good covers floor building,positive
great value money,positive
best cycle,positive
excellent product good sound picture quality better productvery well product thank,positive
reducing less soundi expected make totally deaf working wasted money product,positive
worrest product,negative
amazing product good quality,positive
ok,neutral
excellent product,positive
supper,neutral
comfortable ball,positive
good quality products size fi,positive
best budget,positive
dont purchase item irritating stuff,negative
awsome,positive
good product sound quality good bass quality good iam satisfied,positive
received damage items please improve,positive
value moneyvery nice producthappy purchase,positive
long life product,neutral
good,negative
waste productdont buy,negative
love,positive
amazing nice productim happy,positive
owsom,positive
nice supar,positive
product really awesome,positive
nice product,positive
best products,positive
value money kg delivery installation good running perfectly hope lasts longer,positive
gud,positive
hard durable mats good product,positive
using refrigerator almost month felt really satisfied product,positive
battery backup excellent getting hours backup bass thumping ear vibrates full volume affordable best sound quality best range,positive
replacement received new product accessories thank flipkart customer carevery good quality vaccum cleaner good suction power value money,positive
worthy,negative
veri nice,positive
anytime internet,negative
best home speaker good sound quality,positive
really good price,positive
quality good,positive
bad buy product,negative
good according price,positive
many advanced features worth money got rs big billion day sale,positive
good thank flipcart,positive
good,negative
good mobile,negative
quality good bowls small,positive
nice product flip cards,positive
love thank flipkart,positive
waste money dont buy,negative
examples case studies make economy interesting agriculture allied sector comprehensively covered book thankyou study iq,positive
amazing watchi happy love flipkartlook awesome,positive
product mark using one month adapter working fail product good,negative
awesome quality price range love,positive
quality good,positive
good product,positive
nice product,positive
worst productthe product charging need refund,negative
world biggest useless charger,negative
superb,positive
good product helpfull kids,positive
excellent product thanks,positive
lens blur unexpected product,negative
excellent,positive
extremely super sound one thing device battery backup loved product thankyou flipkart highly recommended,positive
really liked product,positive
good quality satisfactory,positive
nice,positive
quality product good,negative
bad expression,negative
nice low cost,positive
perfect,positive
good working well va battery since one year go,positive
good,positive
product quality good price enough space study keep laptop books essentials together really nice good looking also go,positive
one wordits perfect good deal,positive
sound awsome bass really good,positive
good work nice product price,positive
got delivered days love perfect gym,positive
good product affordable,positive
nice product,positive
nice expected quality fit loves,positive
amazing soundbar price segment sound quality loud heavy baas quality also awesome battery capacity huge backup hours soundand mostly like product body finishing stylishalso anyone needs depth details please visit channel drc tuber,positive
soooooo gooood,positive
get dammage product,negative
good quality things working,positive
super,positive
